iter	Passed	Remaining
546	1413	1170
547	1414	1166
548	1415	1162
549	1416	1159
550	1417	1155
551	1418	1151
552	1419	1147
553	1420	1143
554	1422	1140
555	1423	1136
556	1424	1132
557	1425	1129
558	1426	1125
559	1428	1122
560	1429	1118
561	1430	1114
562	1431	1111
563	1432	1107
564	1433	1103
565	1434	1099
566	1435	1096
567	1436	1092
568	1437	1088
569	1438	1084
570	1439	1081
571	1440	1077
572	1442	1074
573	1443	1071
574	1444	1067
575	1445	1064
576	1446	1060
577	1447	1056
578	1448	1053
579	1449	1049
580	1450	1045
581	1451	1042
582	1452	1038
583	1453	1035
584	1453	1031
585	1454	1027
586	1456	1024
587	1458	1021
588	1459	1018
589	1460	1015
590	1461	1011
591	1462	1008
592	1463	1004
593	1464	1000
594	1465	997
595	1466	993
596	1467	990
597	1467	986
598	1468	983
599	1469	979
600	1469	975
601	1471	972
602	1472	969
603	1473	966
604	1474	962
605	1475	959
606	1476	955
607	1477	952
608	1477	948
609	1478	945
610	1479	941
611	1480	938
612	1480	934
613	1481	931
614	1482	927
615	1482	924
616	1483	920
617	1484	917
618	1484	913
619	1486	911
620	1488	908
621	1489	905
622	1490	901
623	1491	898
624	1492	895
625	1493	892
626	1494	888
627	1494	885
628	1495	881
629	1496	878
630	1496	875
631	1497	871
632	1498	868
633	1498	865
634	1499	861
635	1500	858
636	1501	855
637	1503	852
638	1504	849
639	1505	846
640	1506	843
641	1507	840
642	1508	837
643	1509	834
644	1509	831
645	1510	827
646	1511	824
647	1512	821
648	1512	818
649	1513	814
650	1514	811
651	1514	808
652	1516	805
653	1517	802
654	1519	800
655	1520	797
656	1520	794
657	1521	790
658	1522	787
659	1523	784
660	1524	781
661	1524	778
662	1525	775
663	1526	772
664	1526	769
665	1527	766
666	1528	762
667	1528	759
668	1529	756
669	1530	753
670	1531	751
671	1532	748
672	1534	745
673	1535	742
674	1535	739
675	1536	736
676	1537	733
677	1537	730
678	1538	727
679	1539	724
680	1539	721
681	1540	718
682	1541	715
683	1542	712
684	1542	709
685	1543	706
686	1544	703
687	1545	700
688	1546	698
689	1548	695
690	1549	692
691	1550	689
692	1550	687
693	1551	684
694	1552	681
695	1553	678
696	1554	675
697	1554	672
698	1555	669
699	1556	667
700	1557	664
701	1557	661
702	1558	658
703	1559	655
704	1559	652
705	1560	650
706	1561	647
707	1563	644
708	1564	642
709	1565	639
710	1565	636
711	1566	633
712	1567	630
713	1568	628
714	1568	625
715	1569	622
716	1570	619
717	1570	616
718	1571	614
719	1572	611
720	1573	608
721	1573	605
722	1574	603
723	1575	600
724	1576	597
725	1578	595
726	1579	592
727	1579	590
728	1580	587
729	1581	584
730	1582	582
731	1582	579
732	1583	576
733	1584	574
734	1585	571
735	1585	568
736	1586	566
737	1587	563
738	1587	560
739	1588	558
740	1589	555
741	1590	552
742	1591	550
743	1592	548
744	1593	545
745	1594	542
746	1595	540
747	1596	537
748	1597	535
749	1597	532
750	1598	529
751	1599	527
752	1599	524
753	1600	522
754	1601	519
755	1601	517
756	1602	514
757	1603	511
758	1603	509
759	1604	506
760	1605	504
761	1606	501
762	1608	499
763	1609	497
764	1609	494
765	1610	492
766	1611	489
767	1612	487
768	1613	484
769	1613	482
770	1614	479
771	1615	476
772	1615	474
773	1616	472
774	1617	469
775	1617	467
776	1618	464
777	1619	462
778	1619	459
779	1620	457
780	1621	454
781	1623	452
782	1624	450
783	1625	447
784	1625	445
785	1626	442
786	1627	440
787	1628	438
788	1628	435
789	1629	433
790	1630	430
791	1630	428
792	1631	425
793	1632	423
794	1633	421
795	1633	418
796	1634	416
797	1635	413
798	1636	411
799	1637	409
800	1639	407
801	1640	404
802	1640	402
803	1641	400
804	1642	397
805	1642	395
806	1643	393
807	1644	390
808	1645	388
809	1645	386
810	1646	383
811	1647	381
812	1647	378
813	1648	376
814	1649	374
815	1649	372
816	1650	369
817	1651	367
818	1653	365
819	1654	363
820	1655	360
821	1656	358
822	1656	356
823	1657	354
824	1658	351
825	1658	349
826	1659	347
827	1660	344
828	1661	342
829	1661	340
830	1662	338
831	1668	336
832	1669	334
833	1669	332
834	1670	330
835	1671	327
836	1672	325
837	1672	323
838	1673	321
839	1674	318
840	1675	316
841	1675	314
842	1676	312
843	1677	310
844	1678	307
845	1678	305
846	1679	303
847	1680	301
848	1680	298
849	1682	296
850	1684	294
851	1685	292
852	1686	290
853	1687	288
854	1688	286
855	1689	284
856	1689	281
857	1690	279
858	1691	277
859	1692	275
860	1692	273
861	1693	271
862	1694	268
863	1695	266
864	1696	264
865	1698	262
866	1700	260
867	1701	258
868	1702	256
869	1702	254
870	1703	252
871	1704	250
872	1705	248
873	1706	246
874	1707	243
875	1708	241
876	1709	239
877	1710	237
878	1712	235
879	1713	233
880	1714	231
881	1715	229
882	1716	227
883	1717	225
884	1718	223
885	1719	221
886	1720	219
887	1721	217
888	1722	215
889	1723	212
890	1724	210
891	1725	208
892	1726	206
893	1727	204
894	1728	202
895	1730	200
896	1731	198
897	1732	196
898	1733	194
899	1734	192
900	1734	190
901	1736	188
902	1737	186
903	1738	184
904	1739	182
905	1739	180
906	1741	178
907	1742	176
